checkpoint_order,checkpoint,theta_path,density_order,nu,mu_damp,rank_rtol,use_jitter,jitter_sigma_x,jitter_sigma_t,same_points_across_checkpoints,same_bc_ic_across_densities,nx_pde,nt_pde,pde_points,bc_value_points,bc_derivative_points,ic_points,pde_rms,bc_val_rms,bc_der_rms,ic_rms,checkpoint_mse,checkpoint_relL2,elapsed_sec,m_constraints,n_params,sigma_min_J,sigma_max_J,rank_J,rank_tol,cond_JJt,cond_K_no_damp,cond_K_damped
0,iter_1,theta_damped_diag_200_iter_1.npy,0,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,5,5,25,100,100,200,0.5217484723071838,0.29342349128642037,0.474590788268816,0.5174723038433111,0.3382456586494231,0.9480224648460769,3.356017589569092,425,1981,3.172398148586885e-16,101.36393319196942,88,1.0136393319196943e-08,5.084165444575482e+19,6.941143314513817e+21,1018651.1661236922
0,iter_1,theta_damped_diag_200_iter_1.npy,1,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,10,10,100,100,100,200,0.5397786025247412,0.29342349128642037,0.474590788268816,0.5174723038433111,0.3382456586494231,0.9480224648460769,3.6945621967315674,500,1981,3.1105819221560366e-16,107.55226232349035,162,1.0755226232349036e-08,4.061781436228822e+19,8.79253634578446e+21,1080533.7477604134
0,iter_1,theta_damped_diag_200_iter_1.npy,2,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,20,20,400,100,100,200,0.5427217286221158,0.29342349128642037,0.474590788268816,0.5174723038433111,0.3382456586494231,0.9480224648460769,4.895273923873901,800,1981,1.9742830650226709e-16,137.75801676231126,327,1.3775801676231126e-08,2.0681514324407576e+20,1.5548607852177764e+22,1382588.7432990905
0,iter_1,theta_damped_diag_200_iter_1.npy,3,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,30,30,900,100,100,200,0.5436789157731046,0.29342349128642037,0.474590788268816,0.5174723038433111,0.3382456586494231,0.9480224648460769,8.904464960098267,1300,1981,1.282283009243889e-16,188.79857222636352,349,1.8879857222636352e-08,1.4303403315635012e+21,4.4250669864846266e+21,1892991.8444122907
1,iter_10,theta_damped_diag_200_iter_10.npy,0,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,5,5,25,100,100,200,0.49514823735068575,0.3068591911008698,0.4314418288083328,0.48549157366009393,0.3006267292971723,0.8937505233248494,2.6202287673950195,425,1981,5.624109144641974e-16,147.2670522018393,90,1.472670522018393e-08,5.089446510314793e+19,8.426884407119472e+20,1477678.5116957268
1,iter_10,theta_damped_diag_200_iter_10.npy,1,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,10,10,100,100,100,200,0.5125331057933872,0.3068591911008698,0.4314418288083328,0.48549157366009393,0.3006267292971723,0.8937505233248494,2.5287067890167236,500,1981,5.390868564021575e-16,154.71622384912567,163,1.5471622384912566e-08,1.194548598690528e+21,2.989196175462901e+22,1552169.8194076207
1,iter_10,theta_damped_diag_200_iter_10.npy,2,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,20,20,400,100,100,200,0.5147328600756377,0.3068591911008698,0.4314418288083328,0.48549157366009393,0.3006267292971723,0.8937505233248494,4.301697015762329,800,1981,3.931219362688276e-16,187.52616787987768,352,1.875261678798777e-08,8.59635746272168e+19,3.402601144689849e+20,1880267.8458748916
1,iter_10,theta_damped_diag_200_iter_10.npy,3,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,30,30,900,100,100,200,0.5158005987328118,0.3068591911008698,0.4314418288083328,0.48549157366009393,0.3006267292971723,0.8937505233248494,7.5862343311309814,1300,1981,2.369333635446877e-16,247.21726289815805,383,2.4721726289815807e-08,7.076243020478943e+20,2.488235382337965e+20,2477177.1862975247
2,iter_100,theta_damped_diag_200_iter_100.npy,0,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,5,5,25,100,100,200,0.09971797809148446,0.05189433226225384,0.06051563850256329,0.08396407520686058,0.005874307819656683,0.12493406280091855,2.0861306190490723,425,1981,2.239264111997165e-15,368.1925293248902,142,3.681925293248902e-08,2.9379963878452756e+19,8.723442695402207e+20,3686928.1890054443
2,iter_100,theta_damped_diag_200_iter_100.npy,1,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,10,10,100,100,100,200,0.1232693009316533,0.05189433226225389,0.06051563850256329,0.08396407520686058,0.005874307819656683,0.12493406280091855,2.331488609313965,500,1981,2.128496191160219e-15,1124.1994330102257,210,1.1241994330102257e-07,2.758910745522532e+21,3.9923747028232e+20,11246994.942678595
