iter,obj_printed,obj_mse,feas_mse,pde_con_mse,bc_mse,ic_mse,pde_rms,bc_rms,ic_rms,station,alpha,step_inf,lambda,kkt,relL2
10,0.103,0.01027,0.1181,0.010403999999999998,0.0841,0.6193690000000001,0.102,0.29,0.787,14.7,0.00046,0.00676,0.0001,3.53e-09,1.02
20,0.1007,0.01005,0.1169,0.010201000000000002,0.08236899999999998,0.6146560000000001,0.101,0.287,0.784,18.1,0.000492,0.00892,0.0001,2.63e-09,1.02
30,0.09914,0.009902,0.1159,0.010201000000000002,0.08122499999999999,0.6099610000000001,0.101,0.285,0.781,19.6,0.000479,0.00938,0.0001,3.98e-09,1.02
40,0.09806,0.009797,0.1148,0.010000000000000002,0.08008899999999998,0.6037290000000001,0.1,0.283,0.777,17.0,0.000514,0.00872,0.0001,1.68e-09,1.02
50,0.09719,0.009709,0.1135,0.009900250000000001,0.07952399999999998,0.597529,0.0995,0.282,0.773,18.4,0.000607,0.0111,0.0001,2.23e-09,1.02
60,0.09622,0.009611,0.1121,0.009801,0.07896100000000002,0.5882890000000001,0.099,0.281,0.767,18.2,0.000652,0.0119,0.0001,2.35e-09,1.02
70,0.09509,0.009496,0.1103,0.00968256,0.07840000000000001,0.579121,0.0984,0.28,0.761,16.9,0.000848,0.0144,0.0001,2.47e-09,1.02
80,0.09343,0.009319,0.1082,0.00950625,0.07728400000000002,0.567009,0.0975,0.278,0.753,15.6,0.0011,0.0173,0.0001,2.02e-09,1.02
90,0.09027,0.008987,0.1052,0.009158489999999998,0.07507600000000002,0.552049,0.0957,0.274,0.743,12.8,0.00158,0.0202,0.0001,2.08e-09,1.02
100,0.08435,0.00833,0.09934,0.00850084,0.07022500000000001,0.522729,0.0922,0.265,0.723,6.63,0.00402,0.0267,0.0001,2.01e-09,1.01
110,0.07459,0.007402,0.0899,0.007551610000000001,0.061503999999999996,0.47472099999999995,0.0869,0.248,0.689,5.28,0.00434,0.0229,0.0001,1.99e-09,1.0
120,0.06689,0.006582,0.08056,0.006724000000000001,0.058564,0.42380100000000004,0.082,0.242,0.651,3.44,0.00755,0.026,0.0001,1.78e-09,0.987
