
Generated transport data: t (600,), x (256,), usol (600, 256), c=40.0
Domain: x in [0.0, 6.283185307179586], t in [0.0, 1.0]
Constraint dimension M_CON = 1200
Fixed damping lambda = 1.0e-04
Residual scaling: (u_t + c*u_x)/sqrt(1+c^2)
Jitter: kind=gaussian, sigma_x=1.0e-04, sigma_t=0.0e+00
Derivative periodic BC: deleted. Constraint blocks: PDE=900, BC=100, IC=200
  iter |        obj |     pdeMSE |       feas |       PDE |        BC |        IC |      stat |     alpha |   stepInf |      lam |       kkt |     relL2
--------------------------------------------------------------------------------------------------------------------------------------------------------
    10 |  1.030e-01 |  1.027e-02 |  1.181e-01 |  1.02e-01 |  2.90e-01 |  7.87e-01 |  1.47e+01 |  4.60e-04 |  6.76e-03 |  1.0e-04 |  3.53e-09 |  1.02e+00
    20 |  1.007e-01 |  1.005e-02 |  1.169e-01 |  1.01e-01 |  2.87e-01 |  7.84e-01 |  1.81e+01 |  4.92e-04 |  8.92e-03 |  1.0e-04 |  2.63e-09 |  1.02e+00
    30 |  9.914e-02 |  9.902e-03 |  1.159e-01 |  1.01e-01 |  2.85e-01 |  7.81e-01 |  1.96e+01 |  4.79e-04 |  9.38e-03 |  1.0e-04 |  3.98e-09 |  1.02e+00
    40 |  9.806e-02 |  9.797e-03 |  1.148e-01 |  1.00e-01 |  2.83e-01 |  7.77e-01 |  1.70e+01 |  5.14e-04 |  8.72e-03 |  1.0e-04 |  1.68e-09 |  1.02e+00
    50 |  9.719e-02 |  9.709e-03 |  1.135e-01 |  9.95e-02 |  2.82e-01 |  7.73e-01 |  1.84e+01 |  6.07e-04 |  1.11e-02 |  1.0e-04 |  2.23e-09 |  1.02e+00
    60 |  9.622e-02 |  9.611e-03 |  1.121e-01 |  9.90e-02 |  2.81e-01 |  7.67e-01 |  1.82e+01 |  6.52e-04 |  1.19e-02 |  1.0e-04 |  2.35e-09 |  1.02e+00
    70 |  9.509e-02 |  9.496e-03 |  1.103e-01 |  9.84e-02 |  2.80e-01 |  7.61e-01 |  1.69e+01 |  8.48e-04 |  1.44e-02 |  1.0e-04 |  2.47e-09 |  1.02e+00
    80 |  9.343e-02 |  9.319e-03 |  1.082e-01 |  9.75e-02 |  2.78e-01 |  7.53e-01 |  1.56e+01 |  1.10e-03 |  1.73e-02 |  1.0e-04 |  2.02e-09 |  1.02e+00
    90 |  9.027e-02 |  8.987e-03 |  1.052e-01 |  9.57e-02 |  2.74e-01 |  7.43e-01 |  1.28e+01 |  1.58e-03 |  2.02e-02 |  1.0e-04 |  2.08e-09 |  1.02e+00
   100 |  8.435e-02 |  8.330e-03 |  9.934e-02 |  9.22e-02 |  2.65e-01 |  7.23e-01 |  6.63e+00 |  4.02e-03 |  2.67e-02 |  1.0e-04 |  2.01e-09 |  1.01e+00
   110 |  7.459e-02 |  7.402e-03 |  8.990e-02 |  8.69e-02 |  2.48e-01 |  6.89e-01 |  5.28e+00 |  4.34e-03 |  2.29e-02 |  1.0e-04 |  1.99e-09 |  1.00e+00
   120 |  6.689e-02 |  6.582e-03 |  8.056e-02 |  8.20e-02 |  2.42e-01 |  6.51e-01 |  3.44e+00 |  7.55e-03 |  2.60e-02 |  1.0e-04 |  1.78e-09 |  9.87e-01
   130 |  5.158e-02 |  4.916e-03 |  6.109e-02 |  7.09e-02 |  2.02e-01 |  5.69e-01 |  2.72e+00 |  1.92e-02 |  5.23e-02 |  1.0e-04 |  1.79e-09 |  9.42e-01
   140 |  3.530e-02 |  3.445e-03 |  4.486e-02 |  5.94e-02 |  1.60e-01 |  4.90e-01 |  2.50e+00 |  1.17e-02 |  2.93e-02 |  1.0e-04 |  1.76e-09 |  8.96e-01
