iter,obj_printed,obj_mse,feas_mse,pde_con_mse,bc_mse,ic_mse,pde_rms,bc_rms,ic_rms,station,alpha,step_inf,lambda,kkt,relL2
10,0.103,0.01027,0.1181,0.010403999999999998,0.0841,0.6193690000000001,0.102,0.29,0.787,14.7,0.00046,0.00676,0.0001,4.13e-09,1.02
20,0.1007,0.01005,0.1169,0.010201000000000002,0.08236899999999998,0.6146560000000001,0.101,0.287,0.784,18.1,0.000492,0.00892,0.0001,2.74e-09,1.02
30,0.09914,0.009902,0.1159,0.010201000000000002,0.08122499999999999,0.6084,0.101,0.285,0.78,19.6,0.000479,0.00938,0.0001,1.82e-09,1.02
40,0.09806,0.009797,0.1148,0.010000000000000002,0.08008899999999998,0.6037290000000001,0.1,0.283,0.777,17.0,0.000514,0.00872,0.0001,3.52e-09,1.02
50,0.09719,0.009709,0.1135,0.009900250000000001,0.07952399999999998,0.597529,0.0995,0.282,0.773,18.4,0.000607,0.0111,0.0001,2.29e-09,1.02
60,0.09621,0.009611,0.1121,0.009801,0.07896100000000002,0.5882890000000001,0.099,0.281,0.767,18.2,0.000652,0.0119,0.0001,3.16e-09,1.02
70,0.09509,0.009496,0.1103,0.00968256,0.07840000000000001,0.579121,0.0984,0.28,0.761,16.9,0.000848,0.0144,0.0001,2.24e-09,1.02
80,0.09343,0.009319,0.1082,0.00950625,0.07728400000000002,0.567009,0.0975,0.278,0.753,15.6,0.0011,0.0173,0.0001,2.06e-09,1.02
90,0.09027,0.008987,0.1052,0.009158489999999998,0.07507600000000002,0.552049,0.0957,0.274,0.743,12.8,0.00158,0.0202,0.0001,2.32e-09,1.02
100,0.08435,0.00833,0.09933,0.00850084,0.07022500000000001,0.522729,0.0922,0.265,0.723,6.63,0.00403,0.0267,0.0001,1.83e-09,1.01
110,0.07458,0.007402,0.0899,0.007551610000000001,0.061503999999999996,0.47472099999999995,0.0869,0.248,0.689,5.28,0.00434,0.0229,0.0001,1.62e-09,1.0
120,0.06689,0.006582,0.08055,0.006724000000000001,0.058080999999999994,0.42380100000000004,0.082,0.241,0.651,3.44,0.00755,0.026,0.0001,1.8e-09,0.987
130,0.05161,0.004919,0.06108,0.0050268100000000005,0.04080400000000001,0.32376099999999997,0.0709,0.202,0.569,2.73,0.0192,0.0524,0.0001,1.8e-09,0.942
140,0.03534,0.003449,0.04482,0.0035283600000000004,0.0256,0.24009999999999998,0.0594,0.16,0.49,2.51,0.0117,0.0294,0.0001,1.79e-09,0.896
150,0.02631,0.002536,0.03335,0.0025908100000000002,0.017161000000000003,0.179776,0.0509,0.131,0.424,2.13,0.0169,0.0359,0.0001,1.52e-09,0.838
160,0.02065,0.002045,0.02592,0.0020884899999999997,0.010000000000000002,0.141376,0.0457,0.1,0.376,3.04,0.00851,0.0259,0.0001,1.58e-09,0.793
170,0.01937,0.00193,0.02305,0.00197136,0.00855625,0.12531599999999998,0.0444,0.0925,0.354,3.82,0.0052,0.0198,0.0001,1.2e-09,0.767
180,0.01879,0.001872,0.02125,0.0019096900000000003,0.00819025,0.11492100000000001,0.0437,0.0905,0.339,3.95,0.00465,0.0184,0.0001,9.63e-10,0.742
190,0.01763,0.001741,0.01895,0.0017724099999999999,0.0081,0.101761,0.0421,0.09,0.319,2.81,0.00892,0.0251,0.0001,4.09e-10,0.702
200,0.01303,0.00122,0.01296,0.00123904,0.006115240000000001,0.06916900000000001,0.0352,0.0782,0.263,1.36,0.0367,0.0499,0.0001,3.87e-10,0.574
210,0.003747,0.000289,0.002727,0.00029584,0.0030691599999999996,0.013456000000000001,0.0172,0.0554,0.116,0.694,0.137,0.0953,0.0001,1.78e-10,0.253
220,2.801e-05,1.751e-06,8.384e-06,1.6129000000000003e-06,2.42064e-05,3.0913599999999995e-05,0.00127,0.00492,0.00556,0.0895,0.29,0.026,0.0001,1.18e-10,0.0118
230,2.072e-06,1.839e-07,3.256e-07,1.1222500000000001e-07,1.4399999999999998e-06,7.242009999999999e-07,0.000335,0.0012,0.000851,0.0455,0.133,0.00608,0.0001,8.36e-11,0.00262
240,9.641e-07,9.234e-08,8.361e-08,3.9204e-08,4.0449599999999994e-07,1.225e-07,0.000198,0.000636,0.00035,0.0355,0.0743,0.00264,0.0001,7.86e-11,0.00168
