Loaded Allen-Cahn reference from allen_cahn_python.mat
Allen-Cahn data: t (201,), x (513,), usol (201, 513)
Domain: x in [-1.0, 1.0], t in [0.0, 1.0]
PDE: u_t - 0.001 u_xx + 5 u^3 - 5 u = 0
Constraint dimension M_CON = 1300
Fixed damping lambda = 1.0e-04
Jitter: kind=gaussian, sigma_x=1.0e-04, sigma_t=1.0e-04
Constraint blocks: PDE=900, BCv=100, BCd=100, IC=200
  iter |        obj |     pdeMSE |       feas |       PDE |       BCv |       BCd |        IC |      stat |     alpha |   stepInf |      lam |       kkt |     relL2 |       tau
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    10 |  6.213e-01 |  6.208e-02 |  9.668e-02 |  2.50e-01 |  2.92e-01 |  4.76e-01 |  4.37e-01 |  2.19e+01 |  4.21e-04 |  9.22e-03 |  1.0e-04 |  1.43e-08 |  1.03e+00 |  4.34e-02
    20 |  6.169e-01 |  6.165e-02 |  9.604e-02 |  2.49e-01 |  2.91e-01 |  4.73e-01 |  4.36e-01 |  2.29e+01 |  3.45e-04 |  7.91e-03 |  1.0e-04 |  2.16e-08 |  1.02e+00 |  3.64e-02
    30 |  6.128e-01 |  6.123e-02 |  9.544e-02 |  2.48e-01 |  2.89e-01 |  4.71e-01 |  4.36e-01 |  2.05e+01 |  4.07e-04 |  8.34e-03 |  1.0e-04 |  1.91e-08 |  1.02e+00 |  3.64e-02
    40 |  6.075e-01 |  6.068e-02 |  9.474e-02 |  2.47e-01 |  2.88e-01 |  4.69e-01 |  4.35e-01 |  1.34e+01 |  5.80e-04 |  7.75e-03 |  1.0e-04 |  2.31e-08 |  1.01e+00 |  3.64e-02
    50 |  5.979e-01 |  5.966e-02 |  9.358e-02 |  2.45e-01 |  2.86e-01 |  4.66e-01 |  4.34e-01 |  1.06e+01 |  9.12e-04 |  9.71e-03 |  1.0e-04 |  3.36e-08 |  1.00e+00 |  3.64e-02
    60 |  5.839e-01 |  5.826e-02 |  9.186e-02 |  2.42e-01 |  2.85e-01 |  4.60e-01 |  4.32e-01 |  8.93e+00 |  1.08e-03 |  9.63e-03 |  1.0e-04 |  3.01e-08 |  9.90e-01 |  3.64e-02
    70 |  5.707e-01 |  5.692e-02 |  9.010e-02 |  2.39e-01 |  2.85e-01 |  4.54e-01 |  4.29e-01 |  7.26e+00 |  1.28e-03 |  9.26e-03 |  1.0e-04 |  2.56e-08 |  9.78e-01 |  3.64e-02
    80 |  5.542e-01 |  5.525e-02 |  8.795e-02 |  2.36e-01 |  2.81e-01 |  4.48e-01 |  4.26e-01 |  6.77e+00 |  1.25e-03 |  8.44e-03 |  1.0e-04 |  1.04e-07 |  9.65e-01 |  3.64e-02
    90 |  5.392e-01 |  5.381e-02 |  8.608e-02 |  2.33e-01 |  2.76e-01 |  4.42e-01 |  4.24e-01 |  6.82e+00 |  1.01e-03 |  6.89e-03 |  1.0e-04 |  5.80e-08 |  9.54e-01 |  3.64e-02
   100 |  5.292e-01 |  5.284e-02 |  8.475e-02 |  2.31e-01 |  2.74e-01 |  4.37e-01 |  4.22e-01 |  7.63e+00 |  7.43e-04 |  5.67e-03 |  1.0e-04 |  2.71e-08 |  9.45e-01 |  3.64e-02
   110 |  5.207e-01 |  5.199e-02 |  8.351e-02 |  2.29e-01 |  2.72e-01 |  4.31e-01 |  4.21e-01 |  9.54e+00 |  6.63e-04 |  6.32e-03 |  1.0e-04 |  5.14e-08 |  9.37e-01 |  3.64e-02
   120 |  5.119e-01 |  5.111e-02 |  8.223e-02 |  2.27e-01 |  2.69e-01 |  4.26e-01 |  4.19e-01 |  1.24e+01 |  5.91e-04 |  7.30e-03 |  1.0e-04 |  2.03e-08 |  9.29e-01 |  3.64e-02
   130 |  5.039e-01 |  5.031e-02 |  8.113e-02 |  2.25e-01 |  2.66e-01 |  4.22e-01 |  4.18e-01 |  1.58e+01 |  5.27e-04 |  8.31e-03 |  1.0e-04 |  2.20e-08 |  9.21e-01 |  3.64e-02
   140 |  4.974e-01 |  4.968e-02 |  8.026e-02 |  2.24e-01 |  2.64e-01 |  4.19e-01 |  4.17e-01 |  1.86e+01 |  4.28e-04 |  7.96e-03 |  1.0e-04 |  4.66e-08 |  9.14e-01 |  3.64e-02
   150 |  4.919e-01 |  4.914e-02 |  7.950e-02 |  2.23e-01 |  2.62e-01 |  4.17e-01 |  4.15e-01 |  2.07e+01 |  4.21e-04 |  8.72e-03 |  1.0e-04 |  2.74e-08 |  9.08e-01 |  3.64e-02
