iter,obj_printed,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse,pde_rms,bcv_rms,bcd_rms,ic_rms,station,alpha,step_inf,lambda,kkt,relL2,tau
10,0.6213,0.06208,0.09668,0.0625,0.08526399999999999,0.22657599999999997,0.190969,0.25,0.292,0.476,0.437,21.9,0.000421,0.00922,0.0001,3.66e-08,1.03,0.0434
20,0.6169,0.06165,0.09604,0.062001,0.08468099999999999,0.22372899999999998,0.190096,0.249,0.291,0.473,0.436,22.9,0.000345,0.00791,0.0001,2.79e-08,1.02,0.0364
30,0.6128,0.06123,0.09544,0.061503999999999996,0.08352099999999998,0.22184099999999998,0.190096,0.248,0.289,0.471,0.436,20.5,0.000407,0.00834,0.0001,1.53e-08,1.02,0.0364
40,0.6075,0.06068,0.09474,0.061009,0.08294399999999999,0.21996099999999996,0.189225,0.247,0.288,0.469,0.435,13.3,0.00058,0.00774,0.0001,3.05e-08,1.01,0.0364
50,0.5979,0.05966,0.09358,0.060024999999999995,0.08179599999999998,0.21715600000000002,0.188356,0.245,0.286,0.466,0.434,10.7,0.000912,0.00972,0.0001,2.56e-08,1.0,0.0364
60,0.5839,0.05826,0.09187,0.058564,0.08122499999999999,0.2116,0.18662399999999998,0.242,0.285,0.46,0.432,8.93,0.00108,0.00962,0.0001,2.9e-08,0.99,0.0364
70,0.5707,0.05692,0.0901,0.057121,0.08122499999999999,0.20611600000000002,0.18404099999999998,0.239,0.285,0.454,0.429,7.28,0.00128,0.00928,0.0001,3.61e-08,0.978,0.0364
80,0.5542,0.05525,0.08796,0.055695999999999996,0.07896100000000002,0.20070400000000002,0.181476,0.236,0.281,0.448,0.426,6.76,0.00125,0.00843,0.0001,1.15e-07,0.965,0.0364
90,0.5392,0.05381,0.08608,0.054289000000000004,0.07617600000000001,0.195364,0.179776,0.233,0.276,0.442,0.424,6.83,0.00101,0.00689,0.0001,2.71e-08,0.954,0.0364
100,0.5292,0.05284,0.08476,0.053361000000000006,0.07507600000000002,0.190969,0.178084,0.231,0.274,0.437,0.422,7.63,0.000743,0.00568,0.0001,2.37e-08,0.945,0.0364
110,0.5207,0.05199,0.08351,0.052441,0.07398400000000001,0.18576099999999998,0.17724099999999998,0.229,0.272,0.431,0.421,9.55,0.000663,0.00633,0.0001,3.17e-08,0.937,0.0364
120,0.512,0.05112,0.08226,0.051529000000000005,0.07236100000000001,0.181476,0.175561,0.227,0.269,0.426,0.419,12.4,0.000591,0.0073,0.0001,2.91e-08,0.929,0.0364
130,0.504,0.05033,0.08115,0.050625,0.07075600000000001,0.178084,0.174724,0.225,0.266,0.422,0.418,15.7,0.000527,0.0083,0.0001,3.17e-08,0.921,0.0364
140,0.4975,0.04969,0.08027,0.050176000000000005,0.06969600000000001,0.175561,0.173889,0.224,0.264,0.419,0.417,18.5,0.000428,0.00794,0.0001,3.09e-08,0.914,0.0364
150,0.4921,0.04915,0.07952,0.049729,0.06864400000000001,0.173889,0.172225,0.223,0.262,0.417,0.415,20.7,0.000421,0.00871,0.0001,3.35e-08,0.908,0.0364
160,0.4874,0.04869,0.07888,0.048841,0.06760000000000001,0.172225,0.171396,0.221,0.26,0.415,0.414,22.3,0.000376,0.00839,0.0001,4.24e-08,0.902,0.0364
170,0.4828,0.04824,0.07826,0.0484,0.067081,0.171396,0.171396,0.22,0.259,0.414,0.414,22.8,0.00037,0.00842,0.0001,1.86e-08,0.896,0.0364
180,0.4785,0.0478,0.07767,0.047961,0.066049,0.16974399999999998,0.17056899999999997,0.219,0.257,0.412,0.413,21.6,0.000364,0.00787,0.0001,2.62e-08,0.89,0.0364
190,0.474,0.04736,0.07708,0.047524,0.065025,0.16809999999999997,0.16974399999999998,0.218,0.255,0.41,0.412,19.5,0.000358,0.00698,0.0001,3.54e-08,0.884,0.0364
200,0.4699,0.04695,0.07654,0.047524,0.064516,0.16646399999999997,0.168921,0.218,0.254,0.408,0.411,19.9,0.000353,0.00703,0.0001,2.91e-08,0.878,0.0364
210,0.4658,0.04654,0.07599,0.047089,0.064009,0.165649,0.16809999999999997,0.217,0.253,0.407,0.41,19.6,0.000348,0.00682,0.0001,2.35e-08,0.872,0.0364
220,0.4616,0.04612,0.07543,0.046655999999999996,0.063001,0.16402500000000003,0.16728099999999999,0.216,0.251,0.405,0.409,18.6,0.000343,0.00637,0.0001,2.77e-08,0.865,0.0364
230,0.4575,0.04571,0.07487,0.046224999999999995,0.0625,0.16240900000000003,0.16646399999999997,0.215,0.25,0.403,0.408,17.1,0.000338,0.0058,0.0001,5.19e-08,0.859,0.0364
240,0.4534,0.0453,0.07432,0.045795999999999996,0.062001,0.16080100000000003,0.16646399999999997,0.214,0.249,0.401,0.408,17.5,0.000333,0.00582,0.0001,3.93e-08,0.852,0.0364
250,0.4495,0.04492,0.07379,0.045369,0.061503999999999996,0.159201,0.165649,0.213,0.248,0.399,0.407,17.9,0.000329,0.00589,0.0001,4.22e-08,0.845,0.0364
260,0.4459,0.04455,0.07328,0.044944,0.061009,0.15840400000000002,0.164836,0.212,0.247,0.398,0.406,18.4,0.000325,0.00596,0.0001,2.82e-08,0.839,0.0364
270,0.4424,0.04421,0.07281,0.044521,0.060516,0.156816,0.16402500000000003,0.211,0.246,0.396,0.405,18.7,0.000321,0.006,0.0001,2.13e-08,0.832,0.0364
280,0.4392,0.04389,0.07237,0.04409999999999999,0.060516,0.15602500000000002,0.16321600000000003,0.21,0.246,0.395,0.404,18.9,0.000316,0.00598,0.0001,2.35e-08,0.826,0.0364
290,0.4363,0.0436,0.07195,0.04409999999999999,0.060024999999999995,0.155236,0.16240900000000003,0.21,0.245,0.394,0.403,18.9,0.000313,0.00591,0.0001,3.33e-08,0.82,0.0364
