iter,obj_printed,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse,pde_rms,bcv_rms,bcd_rms,ic_rms,station,alpha,step_inf,lambda,kkt,relL2,tau
10,0.6213,0.06208,0.09668,0.0625,0.08526399999999999,0.22657599999999997,0.190969,0.25,0.292,0.476,0.437,21.9,0.000421,0.00922,0.0001,1.43e-08,1.03,0.0434
20,0.6169,0.06165,0.09604,0.062001,0.08468099999999999,0.22372899999999998,0.190096,0.249,0.291,0.473,0.436,22.9,0.000345,0.00791,0.0001,2.16e-08,1.02,0.0364
30,0.6128,0.06123,0.09544,0.061503999999999996,0.08352099999999998,0.22184099999999998,0.190096,0.248,0.289,0.471,0.436,20.5,0.000407,0.00834,0.0001,1.91e-08,1.02,0.0364
40,0.6075,0.06068,0.09474,0.061009,0.08294399999999999,0.21996099999999996,0.189225,0.247,0.288,0.469,0.435,13.4,0.00058,0.00775,0.0001,2.31e-08,1.01,0.0364
50,0.5979,0.05966,0.09358,0.060024999999999995,0.08179599999999998,0.21715600000000002,0.188356,0.245,0.286,0.466,0.434,10.6,0.000912,0.00971,0.0001,3.36e-08,1.0,0.0364
60,0.5839,0.05826,0.09186,0.058564,0.08122499999999999,0.2116,0.18662399999999998,0.242,0.285,0.46,0.432,8.93,0.00108,0.00963,0.0001,3.01e-08,0.99,0.0364
70,0.5707,0.05692,0.0901,0.057121,0.08122499999999999,0.20611600000000002,0.18404099999999998,0.239,0.285,0.454,0.429,7.26,0.00128,0.00926,0.0001,2.56e-08,0.978,0.0364
80,0.5542,0.05525,0.08795,0.055695999999999996,0.07896100000000002,0.20070400000000002,0.181476,0.236,0.281,0.448,0.426,6.77,0.00125,0.00844,0.0001,1.04e-07,0.965,0.0364
90,0.5392,0.05381,0.08608,0.054289000000000004,0.07617600000000001,0.195364,0.179776,0.233,0.276,0.442,0.424,6.82,0.00101,0.00689,0.0001,5.8e-08,0.954,0.0364
100,0.5292,0.05284,0.08475,0.053361000000000006,0.07507600000000002,0.190969,0.178084,0.231,0.274,0.437,0.422,7.63,0.000743,0.00567,0.0001,2.71e-08,0.945,0.0364
110,0.5207,0.05199,0.08351,0.052441,0.07398400000000001,0.18576099999999998,0.17724099999999998,0.229,0.272,0.431,0.421,9.54,0.000663,0.00632,0.0001,5.14e-08,0.937,0.0364
120,0.5119,0.05111,0.08223,0.051529000000000005,0.07236100000000001,0.181476,0.175561,0.227,0.269,0.426,0.419,12.4,0.000591,0.0073,0.0001,2.03e-08,0.929,0.0364
130,0.5039,0.05031,0.08113,0.050625,0.07075600000000001,0.178084,0.174724,0.225,0.266,0.422,0.418,15.8,0.000527,0.00831,0.0001,2.2e-08,0.921,0.0364
140,0.4974,0.04968,0.08026,0.050176000000000005,0.06969600000000001,0.175561,0.173889,0.224,0.264,0.419,0.417,18.6,0.000428,0.00796,0.0001,4.66e-08,0.914,0.0364
150,0.4919,0.04914,0.0795,0.049729,0.06864400000000001,0.173889,0.172225,0.223,0.262,0.417,0.415,20.7,0.000421,0.00872,0.0001,2.74e-08,0.908,0.0364
160,0.4873,0.04868,0.07886,0.048841,0.06760000000000001,0.172225,0.171396,0.221,0.26,0.415,0.414,22.3,0.000376,0.0084,0.0001,3.25e-08,0.902,0.0364
170,0.4827,0.04823,0.07824,0.0484,0.067081,0.17056899999999997,0.17056899999999997,0.22,0.259,0.413,0.413,22.8,0.00037,0.00842,0.0001,4.49e-08,0.896,0.0364
180,0.4784,0.04779,0.07765,0.047961,0.066049,0.16974399999999998,0.17056899999999997,0.219,0.257,0.412,0.413,21.6,0.000364,0.00788,0.0001,2.97e-08,0.89,0.0364
190,0.4739,0.04735,0.07707,0.047524,0.065025,0.16809999999999997,0.16974399999999998,0.218,0.255,0.41,0.412,19.5,0.000358,0.00699,0.0001,2.5e-08,0.884,0.0364
200,0.4698,0.04694,0.07652,0.047524,0.064516,0.16646399999999997,0.168921,0.218,0.254,0.408,0.411,19.9,0.000353,0.00703,0.0001,3.29e-08,0.878,0.0364
210,0.4657,0.04653,0.07597,0.047089,0.064009,0.165649,0.16809999999999997,0.217,0.253,0.407,0.41,19.6,0.000348,0.0068,0.0001,3.63e-08,0.872,0.0364
220,0.4615,0.04611,0.07541,0.046655999999999996,0.063001,0.16402500000000003,0.16728099999999999,0.216,0.251,0.405,0.409,18.6,0.000343,0.00638,0.0001,2.86e-08,0.865,0.0364
230,0.4574,0.0457,0.07485,0.046224999999999995,0.0625,0.16240900000000003,0.16646399999999997,0.215,0.25,0.403,0.408,17.1,0.000338,0.00579,0.0001,2.62e-08,0.859,0.0364
240,0.4533,0.04529,0.0743,0.045795999999999996,0.062001,0.16080100000000003,0.16646399999999997,0.214,0.249,0.401,0.408,17.4,0.000333,0.00582,0.0001,2.59e-08,0.852,0.0364
250,0.4494,0.0449,0.07377,0.045369,0.061503999999999996,0.159201,0.165649,0.213,0.248,0.399,0.407,17.9,0.000329,0.00588,0.0001,4.22e-08,0.845,0.0364
260,0.4457,0.04454,0.07326,0.044944,0.061009,0.15760900000000003,0.164836,0.212,0.247,0.397,0.406,18.3,0.000325,0.00595,0.0001,2.71e-08,0.839,0.0364
270,0.4423,0.0442,0.07279,0.044521,0.060516,0.156816,0.16402500000000003,0.211,0.246,0.396,0.405,18.6,0.000321,0.00598,0.0001,3.75e-08,0.832,0.0364
280,0.4391,0.04388,0.07235,0.04409999999999999,0.060516,0.15602500000000002,0.16321600000000003,0.21,0.246,0.395,0.404,18.8,0.000317,0.00596,0.0001,3.05e-08,0.826,0.0364
290,0.4362,0.04359,0.07193,0.04409999999999999,0.060024999999999995,0.155236,0.16240900000000003,0.21,0.245,0.394,0.403,18.9,0.000313,0.00591,0.0001,3.11e-08,0.82,0.0364
300,0.4333,0.0433,0.07153,0.043681,0.059536,0.154449,0.16160400000000003,0.209,0.244,0.393,0.402,18.8,0.000309,0.00581,0.0001,2.13e-08,0.814,0.0364
310,0.4306,0.04304,0.07112,0.043264,0.059049,0.15366400000000002,0.16080100000000003,0.208,0.243,0.392,0.401,18.6,0.000305,0.00569,0.0001,2.63e-08,0.808,0.0364
320,0.4281,0.04279,0.07074,0.043264,0.058564,0.15288100000000002,0.16000000000000003,0.208,0.242,0.391,0.4,18.2,0.000302,0.00549,0.0001,2.57e-08,0.802,0.0364
330,0.4257,0.04255,0.07037,0.042849,0.058080999999999994,0.15288100000000002,0.15840400000000002,0.207,0.241,0.391,0.398,17.5,0.000328,0.00573,0.0001,3.46e-08,0.795,0.0364
340,0.4236,0.04234,0.07005,0.042849,0.0576,0.15288100000000002,0.15760900000000003,0.207,0.24,0.391,0.397,16.8,0.000324,0.00544,0.0001,2.65e-08,0.789,0.0364
350,0.4216,0.04214,0.06976,0.042435999999999995,0.0576,0.15366400000000002,0.156816,0.206,0.24,0.392,0.396,16.0,0.000321,0.00515,0.0001,5.49e-08,0.783,0.0364
360,0.4196,0.04194,0.06947,0.042435999999999995,0.057121,0.15366400000000002,0.15602500000000002,0.206,0.239,0.392,0.395,15.0,0.000317,0.00475,0.0001,3.58e-08,0.778,0.0364
370,0.4177,0.04175,0.06918,0.04202499999999999,0.05664399999999999,0.15366400000000002,0.154449,0.205,0.238,0.392,0.393,13.4,0.000314,0.00421,0.0001,3.39e-08,0.772,0.0364
380,0.4156,0.04154,0.06889,0.04202499999999999,0.056169,0.154449,0.15366400000000002,0.205,0.237,0.393,0.392,12.5,0.000311,0.00388,0.0001,2.97e-08,0.767,0.0364
390,0.4135,0.04133,0.06859,0.04161599999999999,0.055695999999999996,0.154449,0.15288100000000002,0.204,0.236,0.393,0.391,13.6,0.000338,0.00459,0.0001,3.14e-08,0.761,0.0364
400,0.4112,0.0411,0.06827,0.04161599999999999,0.055695999999999996,0.154449,0.1521,0.204,0.236,0.393,0.39,14.1,0.000335,0.00473,0.0001,3.81e-08,0.755,0.0364
410,0.4089,0.04086,0.06796,0.041209,0.055224999999999996,0.154449,0.151321,0.203,0.235,0.393,0.389,14.3,0.000332,0.00474,0.0001,3.29e-08,0.75,0.0364
420,0.4065,0.04063,0.06764,0.041209,0.055224999999999996,0.155236,0.149769,0.203,0.235,0.394,0.387,14.3,0.000328,0.00469,0.0001,3.18e-08,0.745,0.0364
430,0.4042,0.04039,0.0673,0.04080400000000001,0.054756000000000006,0.154449,0.14899600000000002,0.202,0.234,0.393,0.386,13.6,0.000325,0.00444,0.0001,2.91e-08,0.74,0.0364
440,0.4019,0.04016,0.06697,0.040401000000000006,0.054289000000000004,0.154449,0.148225,0.201,0.233,0.393,0.385,13.9,0.000322,0.00446,0.0001,3.23e-08,0.735,0.0364
450,0.3996,0.03994,0.06662,0.040401000000000006,0.054289000000000004,0.15366400000000002,0.147456,0.201,0.233,0.392,0.384,14.6,0.000319,0.00465,0.0001,3.84e-08,0.73,0.0364
460,0.3974,0.03971,0.06629,0.04000000000000001,0.053824000000000004,0.15366400000000002,0.146689,0.2,0.232,0.392,0.383,15.0,0.000316,0.00476,0.0001,3.66e-08,0.725,0.0364
470,0.3952,0.0395,0.06595,0.04000000000000001,0.053824000000000004,0.15288100000000002,0.145924,0.2,0.232,0.391,0.382,15.7,0.000314,0.00491,0.0001,3.72e-08,0.721,0.0364
480,0.3931,0.03929,0.06564,0.039601000000000004,0.053361000000000006,0.15288100000000002,0.145161,0.199,0.231,0.391,0.381,15.9,0.000311,0.00495,0.0001,3.35e-08,0.716,0.0364
490,0.3911,0.03909,0.0653,0.039601000000000004,0.053361000000000006,0.1521,0.1444,0.199,0.231,0.39,0.38,16.0,0.000308,0.00494,0.0001,3.05e-08,0.712,0.0364
