iter,obj_s,pde_obj_mse,feas_true,obj_for_plot,source,alpha,tau,lam,mu,kkt_res,d_inf,d_l2
10,nan,0.2664,nan,0.2664,PDE_obj_MSE,0.00748,0.4576036,0.0001,nan,0.46,5.36,28.7
20,nan,0.1912,nan,0.1912,PDE_obj_MSE,0.0129,0.4576036,0.0001,nan,0.25,6.17,19.6
30,nan,0.1574,nan,0.1574,PDE_obj_MSE,0.00943,0.4576036,0.0001,nan,0.23,5.53,20.7
40,nan,0.126,nan,0.126,PDE_obj_MSE,0.0148,0.4576036,0.0001,nan,0.21,3.8,15.9
50,nan,0.09884,nan,0.09884,PDE_obj_MSE,0.00674,0.4576036,0.0001,nan,0.24,5.56,22.2
60,nan,0.08403,nan,0.08403,PDE_obj_MSE,0.00876,0.4576036,0.0001,nan,0.18,3.02,18.0
70,nan,0.06802,nan,0.06802,PDE_obj_MSE,0.0114,0.4576036,0.0001,nan,0.16,3.27,14.9
80,nan,0.05227,nan,0.05227,PDE_obj_MSE,0.0289,0.4576036,0.0001,nan,0.068,2.3,8.96
90,nan,0.04202,nan,0.04202,PDE_obj_MSE,0.0234,0.4576036,0.0001,nan,0.056,2.0,8.86
100,nan,0.02156,nan,0.02156,PDE_obj_MSE,0.128,0.4576036,0.0001,nan,0.022,0.818,2.82
110,nan,0.01168,nan,0.01168,PDE_obj_MSE,0.695,0.4576036,0.0001,nan,0.0035,0.0386,0.267
120,nan,0.006124,nan,0.006124,PDE_obj_MSE,0.385,0.4576036,0.0001,nan,0.0019,0.0193,0.0759
130,nan,0.005345,nan,0.005345,PDE_obj_MSE,0.16,0.4576036,0.0001,nan,0.0017,0.0152,0.0624
140,nan,0.004937,nan,0.004937,PDE_obj_MSE,0.13,0.4576036,0.0001,nan,0.0016,0.013,0.0582
150,nan,0.004627,nan,0.004627,PDE_obj_MSE,0.128,0.4576036,0.0001,nan,0.0015,0.0115,0.0546
160,nan,0.00437,nan,0.00437,PDE_obj_MSE,0.152,0.4576036,0.0001,nan,0.0015,0.0105,0.0505
170,nan,0.004095,nan,0.004095,PDE_obj_MSE,0.219,0.4576036,0.0001,nan,0.0014,0.00983,0.0474
180,nan,0.003859,nan,0.003859,PDE_obj_MSE,0.147,0.4576036,0.0001,nan,0.0014,0.0088,0.0448
190,nan,0.00365,nan,0.00365,PDE_obj_MSE,0.12,0.4576036,0.0001,nan,0.0013,0.00789,0.0433
200,nan,0.003409,nan,0.003409,PDE_obj_MSE,0.173,0.4576036,0.0001,nan,0.0013,0.00714,0.0405
210,nan,0.003169,nan,0.003169,PDE_obj_MSE,0.17,0.4576036,0.0001,nan,0.0013,0.00648,0.0379
220,nan,0.002975,nan,0.002975,PDE_obj_MSE,0.203,0.4576036,0.0001,nan,0.0012,0.00583,0.036
230,nan,0.002797,nan,0.002797,PDE_obj_MSE,0.182,0.4576036,0.0001,nan,0.0012,0.00511,0.0343
240,nan,0.002631,nan,0.002631,PDE_obj_MSE,0.163,0.4576036,0.0001,nan,0.0011,0.00516,0.0334
250,nan,0.002468,nan,0.002468,PDE_obj_MSE,0.285,0.4576036,0.0001,nan,0.0011,0.00495,0.0328
260,nan,0.002303,nan,0.002303,PDE_obj_MSE,0.212,0.4576036,0.0001,nan,0.0011,0.00425,0.0286
270,nan,0.002182,nan,0.002182,PDE_obj_MSE,0.23,0.4576036,0.0001,nan,0.001,0.00423,0.0273
280,nan,0.002044,nan,0.002044,PDE_obj_MSE,0.227,0.4576036,0.0001,nan,0.001,0.00404,0.0278
290,nan,0.00193,nan,0.00193,PDE_obj_MSE,0.328,0.4576036,0.0001,nan,0.00098,0.00342,0.0242
300,nan,0.001807,nan,0.001807,PDE_obj_MSE,0.392,0.4576036,0.0001,nan,0.00094,0.00301,0.0227
310,nan,0.001691,nan,0.001691,PDE_obj_MSE,0.32,0.4576036,0.0001,nan,0.0009,0.0028,0.0207
320,nan,0.001595,nan,0.001595,PDE_obj_MSE,0.383,0.4576036,0.0001,nan,0.00087,0.00318,0.0216
330,nan,0.00152,nan,0.00152,PDE_obj_MSE,0.313,0.4576036,0.0001,nan,0.00084,0.00297,0.0215
340,nan,0.001449,nan,0.001449,PDE_obj_MSE,0.144,0.4576036,0.0001,nan,0.00082,0.00576,0.0295
350,nan,0.001379,nan,0.001379,PDE_obj_MSE,0.37,0.4576036,0.0001,nan,0.0008,0.00343,0.0204
360,nan,0.001326,nan,0.001326,PDE_obj_MSE,0.25,0.4576036,0.0001,nan,0.00077,0.00723,0.029
370,nan,0.001282,nan,0.001282,PDE_obj_MSE,0.186,0.4576036,0.0001,nan,0.00076,0.00617,0.0302
380,nan,0.001246,nan,0.001246,PDE_obj_MSE,0.184,0.4576036,0.0001,nan,0.00074,0.00714,0.028
390,nan,0.001205,nan,0.001205,PDE_obj_MSE,0.572,0.4576036,0.0001,nan,0.00072,0.00239,0.0151
400,nan,0.001175,nan,0.001175,PDE_obj_MSE,0.515,0.4576036,0.0001,nan,0.00071,0.00247,0.0136
410,nan,0.001123,nan,0.001123,PDE_obj_MSE,0.51,0.4576036,0.0001,nan,0.00069,0.00192,0.013
420,nan,0.001088,nan,0.001088,PDE_obj_MSE,0.11,0.4576036,0.0001,nan,0.00068,0.0109,0.0373
430,nan,0.001058,nan,0.001058,PDE_obj_MSE,0.0614,0.4576036,0.0001,nan,0.00066,0.00969,0.0351
440,nan,0.001039,nan,0.001039,PDE_obj_MSE,0.338,0.4576036,0.0001,nan,0.00065,0.00527,0.0196
450,nan,0.001014,nan,0.001014,PDE_obj_MSE,0.491,0.4576036,0.0001,nan,0.00064,0.00369,0.0157
460,nan,0.0009928,nan,0.0009928,PDE_obj_MSE,0.365,0.4576036,0.0001,nan,0.00063,0.00489,0.0186
470,nan,0.0009716,nan,0.0009716,PDE_obj_MSE,0.272,0.4576036,0.0001,nan,0.00063,0.00538,0.0219
480,nan,0.0009456,nan,0.0009456,PDE_obj_MSE,0.434,0.4576036,0.0001,nan,0.00062,0.00354,0.0154
490,nan,0.0009244,nan,0.0009244,PDE_obj_MSE,0.137,0.4576036,0.0001,nan,0.00061,0.00894,0.03
500,nan,0.0009079,nan,0.0009079,PDE_obj_MSE,0.687,0.4576036,0.0001,nan,0.0006,0.00231,0.0116
510,nan,0.0008825,nan,0.0008825,PDE_obj_MSE,0.423,0.4576036,0.0001,nan,0.00059,0.00435,0.0153
520,nan,0.0008571,nan,0.0008571,PDE_obj_MSE,0.676,0.4576036,0.0001,nan,0.00058,0.00243,0.0121
530,nan,0.0008219,nan,0.0008219,PDE_obj_MSE,0.121,0.4576036,0.0001,nan,0.00058,0.00956,0.0308
540,nan,0.000813,nan,0.000813,PDE_obj_MSE,0.885,0.4576036,0.0001,nan,0.00057,0.00177,0.00988
550,nan,0.00079,nan,0.00079,PDE_obj_MSE,0.158,0.4576036,0.0001,nan,0.00057,0.00778,0.0249
560,nan,0.0007803,nan,0.0007803,PDE_obj_MSE,0.654,0.4576036,0.0001,nan,0.00056,0.00218,0.0111
570,nan,0.0007586,nan,0.0007586,PDE_obj_MSE,0.785,0.4576036,0.0001,nan,0.00055,0.00262,0.00952
580,nan,0.000738,nan,0.000738,PDE_obj_MSE,0.943,0.4576036,0.0001,nan,0.00055,0.0014,0.00776
590,nan,0.0007232,nan,0.0007232,PDE_obj_MSE,0.139,0.4576036,0.0001,nan,0.00055,0.00938,0.0258
600,nan,0.0007046,nan,0.0007046,PDE_obj_MSE,0.138,0.4576036,0.0001,nan,0.00054,0.00905,0.0285
610,nan,0.0006889,nan,0.0006889,PDE_obj_MSE,0.166,0.4576036,0.0001,nan,0.00053,0.00568,0.0198
620,nan,0.0006735,nan,0.0006735,PDE_obj_MSE,0.181,0.4576036,0.0001,nan,0.00053,0.00649,0.0199
630,nan,0.0006606,nan,0.0006606,PDE_obj_MSE,0.123,0.4576036,0.0001,nan,0.00053,0.00829,0.0269
640,nan,0.0006482,nan,0.0006482,PDE_obj_MSE,0.463,0.4576036,0.0001,nan,0.00052,0.00308,0.0122
650,nan,0.0006311,nan,0.0006311,PDE_obj_MSE,0.214,0.4576036,0.0001,nan,0.00051,0.00638,0.0182
660,nan,0.0006236,nan,0.0006236,PDE_obj_MSE,0.668,0.4576036,0.0001,nan,0.00051,0.00319,0.0105
670,nan,0.0006082,nan,0.0006082,PDE_obj_MSE,0.548,0.4576036,0.0001,nan,0.0005,0.00285,0.0116
680,nan,0.0005978,nan,0.0005978,PDE_obj_MSE,0.254,0.4576036,0.0001,nan,0.0005,0.00603,0.0167
690,nan,0.0005943,nan,0.0005943,PDE_obj_MSE,0.72,0.4576036,0.0001,nan,0.0005,0.00156,0.00869
700,nan,0.0005814,nan,0.0005814,PDE_obj_MSE,0.228,0.4576036,0.0001,nan,0.0005,0.0068,0.0189
710,nan,0.0005724,nan,0.0005724,PDE_obj_MSE,0.116,0.4576036,0.0001,nan,0.0005,0.00977,0.0254
720,nan,0.0005645,nan,0.0005645,PDE_obj_MSE,0.482,0.4576036,0.0001,nan,0.00049,0.00305,0.0102
730,nan,0.0005531,nan,0.0005531,PDE_obj_MSE,1.03,0.4576036,0.0001,nan,0.00048,0.000901,0.00566
740,nan,0.0005458,nan,0.0005458,PDE_obj_MSE,0.104,0.4576036,0.0001,nan,0.00048,0.00966,0.0251
750,nan,0.0005379,nan,0.0005379,PDE_obj_MSE,0.323,0.4576036,0.0001,nan,0.00047,0.00497,0.0131
760,nan,0.0005287,nan,0.0005287,PDE_obj_MSE,1.01,0.4576036,0.0001,nan,0.00047,0.000933,0.00619
770,nan,0.0005187,nan,0.0005187,PDE_obj_MSE,1.0,0.4576036,0.0001,nan,0.00047,0.00093,0.00572
780,nan,0.0005111,nan,0.0005111,PDE_obj_MSE,0.163,0.4576036,0.0001,nan,0.00046,0.00577,0.0175
790,nan,0.0005027,nan,0.0005027,PDE_obj_MSE,0.147,0.4576036,0.0001,nan,0.00046,0.00688,0.0209
800,nan,0.0005016,nan,0.0005016,PDE_obj_MSE,0.555,0.4576036,0.0001,nan,0.00045,0.00347,0.012
810,nan,0.0004912,nan,0.0004912,PDE_obj_MSE,0.342,0.4576036,0.0001,nan,0.00045,0.00382,0.0118
820,nan,0.0004856,nan,0.0004856,PDE_obj_MSE,0.498,0.4576036,0.0001,nan,0.00045,0.00355,0.00947
830,nan,0.0004737,nan,0.0004737,PDE_obj_MSE,0.965,0.4576036,0.0001,nan,0.00044,0.000756,0.00478
840,nan,0.0004689,nan,0.0004689,PDE_obj_MSE,0.96,0.4576036,0.0001,nan,0.00044,0.00102,0.00647
850,nan,0.0004616,nan,0.0004616,PDE_obj_MSE,0.172,0.4576036,0.0001,nan,0.00044,0.00571,0.0175
860,nan,0.000456,nan,0.000456,PDE_obj_MSE,0.302,0.4576036,0.0001,nan,0.00043,0.00366,0.0109
870,nan,0.000452,nan,0.000452,PDE_obj_MSE,0.944,0.4576036,0.0001,nan,0.00043,0.00155,0.00659
880,nan,0.0004452,nan,0.0004452,PDE_obj_MSE,0.0953,0.4576036,0.0001,nan,0.00043,0.00622,0.0175
890,nan,0.0004394,nan,0.0004394,PDE_obj_MSE,0.223,0.4576036,0.0001,nan,0.00043,0.00444,0.0132
900,nan,0.0004337,nan,0.0004337,PDE_obj_MSE,0.296,0.4576036,0.0001,nan,0.00042,0.00386,0.0111
910,nan,0.0004318,nan,0.0004318,PDE_obj_MSE,0.839,0.4576036,0.0001,nan,0.00042,0.00152,0.00619
920,nan,0.000426,nan,0.000426,PDE_obj_MSE,0.69,0.4576036,0.0001,nan,0.00042,0.00246,0.00746
930,nan,0.00042,nan,0.00042,PDE_obj_MSE,0.352,0.4576036,0.0001,nan,0.00041,0.00411,0.0102
940,nan,0.0004187,nan,0.0004187,PDE_obj_MSE,0.513,0.4576036,0.0001,nan,0.00041,0.00344,0.00942
950,nan,0.0004154,nan,0.0004154,PDE_obj_MSE,0.904,0.4576036,0.0001,nan,0.00041,0.00102,0.00738
960,nan,0.0004074,nan,0.0004074,PDE_obj_MSE,0.196,0.4576036,0.0001,nan,0.00041,0.00527,0.014
970,nan,0.0004029,nan,0.0004029,PDE_obj_MSE,0.133,0.4576036,0.0001,nan,0.0004,0.00594,0.0164
980,nan,0.0003974,nan,0.0003974,PDE_obj_MSE,0.16,0.4576036,0.0001,nan,0.0004,0.00531,0.0154
990,nan,0.0003942,nan,0.0003942,PDE_obj_MSE,0.454,0.4576036,0.0001,nan,0.0004,0.00196,0.00867
1000,nan,0.0003922,nan,0.0003922,PDE_obj_MSE,0.969,0.4576036,0.0001,nan,0.00039,0.00173,0.00542
1010,nan,0.000385,nan,0.000385,PDE_obj_MSE,0.338,0.4576036,0.0001,nan,0.00039,0.00278,0.00976
1020,nan,0.000381,nan,0.000381,PDE_obj_MSE,0.118,0.4576036,0.0001,nan,0.00039,0.00568,0.0178
1030,nan,0.0003795,nan,0.0003795,PDE_obj_MSE,0.49,0.4576036,0.0001,nan,0.00039,0.00251,0.00852
1040,nan,0.0003747,nan,0.0003747,PDE_obj_MSE,0.155,0.4576036,0.0001,nan,0.00039,0.00512,0.0147
1050,nan,0.0003712,nan,0.0003712,PDE_obj_MSE,0.096,0.4576036,0.0001,nan,0.00038,0.00576,0.0178
1060,nan,0.0003704,nan,0.0003704,PDE_obj_MSE,0.855,0.4576036,0.0001,nan,0.00038,0.00145,0.00606
1070,nan,0.0003643,nan,0.0003643,PDE_obj_MSE,0.0714,0.4576036,0.0001,nan,0.00038,0.00719,0.02
