iter,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse
10,0.2693,0.2442,0.27457600000000004,0.096721,0.192721,0.239121
20,0.1943,0.1776,0.19980900000000001,0.08643599999999999,0.13322499999999998,0.17892899999999998
30,0.1539,0.1404,0.156816,0.07562500000000001,0.096721,0.139129
40,0.1246,0.1131,0.128164,0.063504,0.07562500000000001,0.109561
50,0.09943,0.09012,0.099856,0.051529000000000005,0.059049,0.088804
60,0.08868,0.07879,0.088209,0.042849,0.049729,0.07617600000000001
70,0.06854,0.05387,0.064009,0.030624999999999996,0.035344,0.059049
80,0.07124,0.03193,0.036481,0.015625,0.016384,0.034225
90,0.08272,0.02508,0.029241000000000003,0.011663999999999999,0.011024999999999998,0.024336
100,0.1043,0.01504,0.018769000000000004,0.006691239999999999,0.00614656,0.013923999999999999
110,0.1391,0.0003,0.00058081,1.4668900000000001e-05,0.00011448999999999998,0.00038416
120,0.1061,3.299e-05,5.01264e-05,9.54529e-07,1.1492099999999998e-05,1.10224e-05
130,0.08373,1.406e-05,2.1252100000000003e-05,1.89225e-07,3.2761e-06,1.8225000000000001e-06
140,0.07004,6.52e-06,9.8596e-06,5.9536e-08,1.1236e-06,5.476e-07
150,0.06103,3.44e-06,5.198399999999999e-06,2.8224e-08,5.05521e-07,2.4403599999999995e-07
160,0.05473,1.709e-06,2.5921e-06,1.7161000000000004e-08,2.6010000000000006e-07,1.3322499999999998e-07
170,0.05005,9.007e-07,1.3456e-06,1.2321e-08,1.5523599999999997e-07,8.236899999999999e-08
180,0.0463,5.676e-07,8.262809999999999e-07,9.33156e-09,1.04329e-07,5.7600000000000006e-08
190,0.04311,4.007e-07,5.791209999999999e-07,7.344489999999999e-09,7.617599999999999e-08,4.3681000000000006e-08
200,0.04032,3.037e-07,4.3428099999999997e-07,5.9290000000000005e-09,5.8564e-08,3.5343999999999995e-08
210,0.03784,2.426e-07,3.4456899999999994e-07,4.914009999999999e-09,4.6656e-08,3.0276e-08
220,0.03563,2.027e-07,2.8729600000000003e-07,4.147359999999999e-09,3.8025e-08,2.6569e-08
