iter,obj_mse_weighted,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse,station,tau,alpha,beta,kkt_res,d_inf,d_l2
10,0.2693,0.02693,0.2442,0.27457600000000004,0.096721,0.192721,0.239121,5.095,0.4538431,0.00744,0.971,0.45,5.1,28.3
20,0.1943,0.01943,0.1776,0.19980900000000001,0.08643599999999999,0.13322499999999998,0.17892899999999998,5.924,0.4538431,0.0141,0.944,0.24,5.92,18.8
30,0.1539,0.015390000000000001,0.1404,0.156816,0.07562500000000001,0.096721,0.139129,5.454,0.4538431,0.0103,0.92,0.22,5.45,20.1
40,0.1246,0.01246,0.1131,0.128164,0.063504,0.07562500000000001,0.109561,4.378,0.4538431,0.0122,0.896,0.21,4.38,17.8
50,0.09943,0.009943,0.09012,0.099856,0.051529000000000005,0.059049,0.088804,5.517,0.4538431,0.00892,0.875,0.26,5.52,19.4
60,0.08868,0.008868,0.07879,0.088209,0.042849,0.049729,0.07617600000000001,4.097,0.4538431,0.00792,0.854,0.21,4.1,19.3
70,0.06854,0.006854000000000001,0.05387,0.064009,0.030624999999999996,0.035344,0.059049,2.323,0.4538431,0.0356,0.835,0.074,2.32,8.31
80,0.07124,0.007124,0.03193,0.036481,0.015625,0.016384,0.034225,1.77,0.4538431,0.0179,0.817,0.093,1.77,10.2
90,0.08272,0.008272,0.02508,0.029241000000000003,0.011663999999999999,0.011024999999999998,0.024336,2.014,0.4538431,0.0159,0.8,0.078,2.01,10.2
100,0.1043,0.01043,0.01504,0.018769000000000004,0.006691239999999999,0.00614656,0.013923999999999999,0.733,0.4538431,0.0651,0.784,0.034,0.733,4.34
110,0.1391,0.01391,0.0003,0.00058081,1.4668900000000001e-05,0.00011448999999999998,0.00038416,0.124,0.4538431,0.22,0.769,0.0061,0.124,0.815
120,0.1061,0.01061,3.299e-05,5.01264e-05,9.54529e-07,1.1492099999999998e-05,1.10224e-05,0.1059,0.4538431,0.111,0.754,0.0051,0.106,0.558
130,0.08373,0.008373,1.406e-05,2.1252100000000003e-05,1.89225e-07,3.2761e-06,1.8225000000000001e-06,0.1044,0.4538431,0.0744,0.74,0.0046,0.104,0.496
140,0.07004,0.007004000000000001,6.52e-06,9.8596e-06,5.9536e-08,1.1236e-06,5.476e-07,0.116,0.4538431,0.0499,0.727,0.0044,0.116,0.472
150,0.06103,0.006103,3.44e-06,5.198399999999999e-06,2.8224e-08,5.05521e-07,2.4403599999999995e-07,0.1364,0.4538431,0.0368,0.715,0.0042,0.136,0.471
160,0.05473,0.0054730000000000004,1.709e-06,2.5921e-06,1.7161000000000004e-08,2.6010000000000006e-07,1.3322499999999998e-07,0.1113,0.4538431,0.0299,0.703,0.004,0.111,0.433
170,0.05005,0.005005,9.007e-07,1.3456e-06,1.2321e-08,1.5523599999999997e-07,8.236899999999999e-08,0.1055,0.4538431,0.0243,0.691,0.0038,0.105,0.417
180,0.0463,0.0046300000000000004,5.676e-07,8.262809999999999e-07,9.33156e-09,1.04329e-07,5.7600000000000006e-08,0.113,0.4538431,0.0198,0.68,0.0038,0.113,0.416
190,0.04311,0.004311000000000001,4.007e-07,5.791209999999999e-07,7.344489999999999e-09,7.617599999999999e-08,4.3681000000000006e-08,0.1209,0.4538431,0.0177,0.67,0.0037,0.121,0.418
200,0.04032,0.004032,3.037e-07,4.3428099999999997e-07,5.9290000000000005e-09,5.8564e-08,3.5343999999999995e-08,0.1267,0.4538431,0.0144,0.66,0.0037,0.127,0.42
210,0.03784,0.003784,2.426e-07,3.4456899999999994e-07,4.914009999999999e-09,4.6656e-08,3.0276e-08,0.1293,0.4538431,0.0129,0.65,0.0036,0.129,0.42
220,0.03563,0.003563,2.027e-07,2.8729600000000003e-07,4.147359999999999e-09,3.8025e-08,2.6569e-08,0.1285,0.4538431,0.0116,0.641,0.0036,0.128,0.418
230,0.03364,0.0033640000000000002,1.766e-07,2.49001e-07,3.5760399999999996e-09,3.2040999999999996e-08,2.4025e-08,0.1239,0.4538431,0.0114,0.632,0.0036,0.124,0.414
240,0.03178,0.0031780000000000003,1.601e-07,2.2467599999999997e-07,3.11364e-09,2.7225e-08,2.1904e-08,0.1142,0.4538431,0.0102,0.623,0.0035,0.114,0.405
