iter,obj_s,pde_obj_mse,feas_true,obj_for_plot,source
10,nan,0.2999,nan,0.2999,PDE_obj_MSE
20,nan,0.2999,nan,0.2999,PDE_obj_MSE
30,nan,0.2999,nan,0.2999,PDE_obj_MSE
40,nan,0.2999,nan,0.2999,PDE_obj_MSE
50,nan,0.2999,nan,0.2999,PDE_obj_MSE
60,nan,0.2999,nan,0.2999,PDE_obj_MSE
70,nan,0.2999,nan,0.2999,PDE_obj_MSE
80,nan,0.2999,nan,0.2999,PDE_obj_MSE
90,nan,0.2999,nan,0.2999,PDE_obj_MSE
100,nan,0.2999,nan,0.2999,PDE_obj_MSE
110,nan,0.2999,nan,0.2999,PDE_obj_MSE
120,nan,0.2999,nan,0.2999,PDE_obj_MSE
130,nan,0.2999,nan,0.2999,PDE_obj_MSE
140,nan,0.2999,nan,0.2999,PDE_obj_MSE
150,nan,0.2999,nan,0.2999,PDE_obj_MSE
160,nan,0.2999,nan,0.2999,PDE_obj_MSE
170,nan,0.2999,nan,0.2999,PDE_obj_MSE
180,nan,0.2999,nan,0.2999,PDE_obj_MSE
190,nan,0.2999,nan,0.2999,PDE_obj_MSE
200,nan,0.2999,nan,0.2999,PDE_obj_MSE
210,nan,0.2999,nan,0.2999,PDE_obj_MSE
220,nan,0.2999,nan,0.2999,PDE_obj_MSE
230,nan,0.2999,nan,0.2999,PDE_obj_MSE
240,nan,0.2999,nan,0.2999,PDE_obj_MSE
250,nan,0.2999,nan,0.2999,PDE_obj_MSE
260,nan,0.2999,nan,0.2999,PDE_obj_MSE
270,nan,0.2999,nan,0.2999,PDE_obj_MSE
280,nan,0.2999,nan,0.2999,PDE_obj_MSE
290,nan,0.2999,nan,0.2999,PDE_obj_MSE
300,nan,0.2999,nan,0.2999,PDE_obj_MSE
310,nan,0.2999,nan,0.2999,PDE_obj_MSE
320,nan,0.2999,nan,0.2999,PDE_obj_MSE
330,nan,0.2999,nan,0.2999,PDE_obj_MSE
340,nan,0.2999,nan,0.2999,PDE_obj_MSE
350,nan,0.2999,nan,0.2999,PDE_obj_MSE
360,nan,0.2999,nan,0.2999,PDE_obj_MSE
370,nan,0.2999,nan,0.2999,PDE_obj_MSE
380,nan,0.2999,nan,0.2999,PDE_obj_MSE
390,nan,0.2999,nan,0.2999,PDE_obj_MSE
400,nan,0.2999,nan,0.2999,PDE_obj_MSE
410,nan,0.2999,nan,0.2999,PDE_obj_MSE
420,nan,0.2999,nan,0.2999,PDE_obj_MSE
430,nan,0.2999,nan,0.2999,PDE_obj_MSE
440,nan,0.2999,nan,0.2999,PDE_obj_MSE
450,nan,0.2999,nan,0.2999,PDE_obj_MSE
460,nan,0.2999,nan,0.2999,PDE_obj_MSE
470,nan,0.2999,nan,0.2999,PDE_obj_MSE
480,nan,0.2999,nan,0.2999,PDE_obj_MSE
490,nan,0.2999,nan,0.2999,PDE_obj_MSE
500,nan,0.2999,nan,0.2999,PDE_obj_MSE
510,nan,0.2999,nan,0.2999,PDE_obj_MSE
520,nan,0.2999,nan,0.2999,PDE_obj_MSE
