iter,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse
10,0.2664,0.2429,0.273529,0.094864,0.1936,0.24009999999999998
20,0.1912,0.176,0.195364,0.07728400000000002,0.12744899999999998,0.18576099999999998
30,0.1574,0.1437,0.16080100000000003,0.06916900000000001,0.0961,0.1444
40,0.126,0.1155,0.131044,0.0576,0.07952399999999998,0.11764900000000002
50,0.09884,0.09163,0.10048900000000001,0.046224999999999995,0.064516,0.096721
60,0.08403,0.07802,0.08526399999999999,0.043264,0.057121,0.08179599999999998
70,0.06802,0.06289,0.06916900000000001,0.038025,0.045795999999999996,0.064009
80,0.05227,0.04584,0.051984,0.031328999999999996,0.036864,0.046655999999999996
90,0.04202,0.03073,0.034596,0.021315999999999998,0.023409,0.029928999999999997
100,0.02156,0.00774,0.011448999999999999,0.00346921,0.00521284,0.00912025
110,0.01168,7.285e-05,0.00012099999999999999,2.13444e-05,4.58329e-05,3.8808999999999996e-06
120,0.006124,2.149e-07,1.1881000000000001e-06,3.9601000000000005e-08,1.4137599999999998e-07,7.140249999999999e-09
130,0.005345,3.411e-08,1.07584e-07,5.299839999999999e-09,1.3924e-08,1.764e-09
140,0.004937,8.568e-09,1.27449e-07,1.82329e-09,4.05769e-09,1.27449e-09
150,0.004627,1.703e-08,1.2960000000000002e-07,9.672099999999998e-10,1.79776e-09,1.14244e-09
160,0.00437,9.077e-09,1.48225e-07,6.451600000000001e-10,1.06276e-09,1.08241e-09
170,0.004095,1.4e-08,6.75684e-07,5.616900000000001e-10,9.486400000000001e-10,1.0497600000000001e-09
180,0.003859,6.206e-09,1.16281e-07,4.3264e-10,6.6564e-10,1.0176100000000002e-09
190,0.00365,5.767e-09,6.051600000000001e-08,3.2760999999999997e-10,4.6225000000000003e-10,9.859599999999998e-10
200,0.003409,8.027e-09,1.2320100000000002e-07,2.9241e-10,4.1616000000000004e-10,9.61e-10
210,0.003169,7.535e-09,1.7472400000000002e-07,2.8223999999999995e-10,3.7636000000000003e-10,9.3025e-10
220,0.002975,1.353e-08,1.2816399999999998e-07,2.0735999999999997e-10,2.4648999999999994e-10,9.0601e-10
230,0.002797,1.386e-08,9.120400000000001e-08,1.7689e-10,1.7956000000000002e-10,8.761600000000001e-10
240,0.002631,1.469e-08,4.2848999999999995e-08,1.6383999999999997e-10,1.4641e-10,8.4681e-10
250,0.002468,4.889e-09,3.708809999999999e-07,1.5376e-10,1.2543999999999998e-10,8.1796e-10
260,0.002303,6.833e-09,4.6225e-08,1.4161e-10,1.1236e-10,7.84e-10
270,0.002182,3.525e-09,7.182400000000001e-08,1.3456000000000002e-10,9.38961e-11,7.5625e-10
280,0.002044,1e-08,1.1088900000000001e-07,1.3225e-10,9.12025e-11,7.128899999999999e-10
290,0.00193,1.091e-08,7.0225e-08,1.2995999999999998e-10,8.77969e-11,6.812100000000001e-10
300,0.001807,1.299e-08,1.13569e-07,1.2321e-10,9.13936e-11,6.451600000000001e-10
310,0.001691,8.498e-09,2.9584000000000002e-08,1.3225e-10,8.911359999999999e-11,6.051600000000001e-10
320,0.001595,7.484e-09,6.100899999999999e-08,1.2543999999999998e-10,8.987040000000002e-11,5.616900000000001e-10
