iter,obj_mse_weighted,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse,station,tau,alpha,beta,kkt_res,d_inf,d_l2
10,0.2664,0.026640000000000004,0.2429,0.273529,0.094864,0.1936,0.24009999999999998,5.357,0.4576036,0.00748,0.971,0.46,5.36,28.7
20,0.1912,0.01912,0.176,0.195364,0.07728400000000002,0.12744899999999998,0.18576099999999998,6.166,0.4576036,0.0129,0.944,0.25,6.17,19.6
30,0.1574,0.01574,0.1437,0.16080100000000003,0.06916900000000001,0.0961,0.1444,5.533,0.4576036,0.00943,0.92,0.23,5.53,20.7
40,0.126,0.0126,0.1155,0.131044,0.0576,0.07952399999999998,0.11764900000000002,3.799,0.4576036,0.0148,0.896,0.21,3.8,15.9
50,0.09884,0.009884,0.09163,0.10048900000000001,0.046224999999999995,0.064516,0.096721,5.559,0.4576036,0.00674,0.875,0.24,5.56,22.2
60,0.08403,0.008402999999999999,0.07802,0.08526399999999999,0.043264,0.057121,0.08179599999999998,3.017,0.4576036,0.00876,0.854,0.18,3.02,18.0
70,0.06802,0.006802,0.06289,0.06916900000000001,0.038025,0.045795999999999996,0.064009,3.267,0.4576036,0.0114,0.835,0.16,3.27,14.9
80,0.05227,0.005227,0.04584,0.051984,0.031328999999999996,0.036864,0.046655999999999996,2.297,0.4576036,0.0289,0.817,0.068,2.3,8.96
90,0.04202,0.004202,0.03073,0.034596,0.021315999999999998,0.023409,0.029928999999999997,2.003,0.4576036,0.0234,0.8,0.056,2.0,8.86
100,0.02156,0.002156,0.00774,0.011448999999999999,0.00346921,0.00521284,0.00912025,0.8183,0.4576036,0.128,0.784,0.022,0.818,2.82
110,0.01168,0.001168,7.285e-05,0.00012099999999999999,2.13444e-05,4.58329e-05,3.8808999999999996e-06,0.03858,0.4576036,0.695,0.769,0.0035,0.0386,0.267
120,0.006124,0.0006124,2.149e-07,1.1881000000000001e-06,3.9601000000000005e-08,1.4137599999999998e-07,7.140249999999999e-09,0.01929,0.4576036,0.385,0.754,0.0019,0.0193,0.0759
130,0.005345,0.0005345,3.411e-08,1.07584e-07,5.299839999999999e-09,1.3924e-08,1.764e-09,0.01521,0.4576036,0.16,0.74,0.0017,0.0152,0.0624
140,0.004937,0.0004937,8.568e-09,1.27449e-07,1.82329e-09,4.05769e-09,1.27449e-09,0.01301,0.4576036,0.13,0.727,0.0016,0.013,0.0582
150,0.004627,0.0004627,1.703e-08,1.2960000000000002e-07,9.672099999999998e-10,1.79776e-09,1.14244e-09,0.0115,0.4576036,0.128,0.715,0.0015,0.0115,0.0546
160,0.00437,0.000437,9.077e-09,1.48225e-07,6.451600000000001e-10,1.06276e-09,1.08241e-09,0.01049,0.4576036,0.152,0.703,0.0015,0.0105,0.0505
170,0.004095,0.0004095,1.4e-08,6.75684e-07,5.616900000000001e-10,9.486400000000001e-10,1.0497600000000001e-09,0.009834,0.4576036,0.219,0.691,0.0014,0.00983,0.0474
180,0.003859,0.0003859,6.206e-09,1.16281e-07,4.3264e-10,6.6564e-10,1.0176100000000002e-09,0.008802,0.4576036,0.147,0.68,0.0014,0.0088,0.0448
190,0.00365,0.000365,5.767e-09,6.051600000000001e-08,3.2760999999999997e-10,4.6225000000000003e-10,9.859599999999998e-10,0.007892,0.4576036,0.12,0.67,0.0013,0.00789,0.0433
200,0.003409,0.0003409,8.027e-09,1.2320100000000002e-07,2.9241e-10,4.1616000000000004e-10,9.61e-10,0.007145,0.4576036,0.173,0.66,0.0013,0.00714,0.0405
210,0.003169,0.0003169,7.535e-09,1.7472400000000002e-07,2.8223999999999995e-10,3.7636000000000003e-10,9.3025e-10,0.006484,0.4576036,0.17,0.65,0.0013,0.00648,0.0379
220,0.002975,0.0002975,1.353e-08,1.2816399999999998e-07,2.0735999999999997e-10,2.4648999999999994e-10,9.0601e-10,0.005833,0.4576036,0.203,0.641,0.0012,0.00583,0.036
230,0.002797,0.0002797,1.386e-08,9.120400000000001e-08,1.7689e-10,1.7956000000000002e-10,8.761600000000001e-10,0.005107,0.4576036,0.182,0.632,0.0012,0.00511,0.0343
240,0.002631,0.0002631,1.469e-08,4.2848999999999995e-08,1.6383999999999997e-10,1.4641e-10,8.4681e-10,0.005156,0.4576036,0.163,0.623,0.0011,0.00516,0.0334
250,0.002468,0.00024680000000000004,4.889e-09,3.708809999999999e-07,1.5376e-10,1.2543999999999998e-10,8.1796e-10,0.004954,0.4576036,0.285,0.615,0.0011,0.00495,0.0328
260,0.002303,0.0002303,6.833e-09,4.6225e-08,1.4161e-10,1.1236e-10,7.84e-10,0.004249,0.4576036,0.212,0.607,0.0011,0.00425,0.0286
270,0.002182,0.0002182,3.525e-09,7.182400000000001e-08,1.3456000000000002e-10,9.38961e-11,7.5625e-10,0.004232,0.4576036,0.23,0.599,0.001,0.00423,0.0273
280,0.002044,0.00020439999999999998,1e-08,1.1088900000000001e-07,1.3225e-10,9.12025e-11,7.128899999999999e-10,0.00404,0.4576036,0.227,0.591,0.001,0.00404,0.0278
290,0.00193,0.000193,1.091e-08,7.0225e-08,1.2995999999999998e-10,8.77969e-11,6.812100000000001e-10,0.003417,0.4576036,0.328,0.584,0.00098,0.00342,0.0242
300,0.001807,0.0001807,1.299e-08,1.13569e-07,1.2321e-10,9.13936e-11,6.451600000000001e-10,0.003008,0.4576036,0.392,0.577,0.00094,0.00301,0.0227
310,0.001691,0.0001691,8.498e-09,2.9584000000000002e-08,1.3225e-10,8.911359999999999e-11,6.051600000000001e-10,0.002802,0.4576036,0.32,0.57,0.0009,0.0028,0.0207
320,0.001595,0.0001595,7.484e-09,6.100899999999999e-08,1.2543999999999998e-10,8.987040000000002e-11,5.616900000000001e-10,0.003181,0.4576036,0.383,0.564,0.00087,0.00318,0.0216
330,0.00152,0.000152,6.955e-09,4.84e-08,1.1881000000000003e-10,9.04401e-11,5.29e-10,0.002969,0.4576036,0.313,0.557,0.00084,0.00297,0.0215
340,0.001449,0.0001449,4.488e-09,2.8900000000000004e-08,1.1664e-10,9.409000000000001e-11,5.017599999999999e-10,0.00576,0.4576036,0.144,0.551,0.00082,0.00576,0.0295
350,0.001379,0.0001379,4.772e-09,4.4100000000000004e-08,1.1664e-10,9.682560000000001e-11,4.752400000000001e-10,0.003428,0.4576036,0.37,0.545,0.0008,0.00343,0.0204
360,0.001326,0.0001326,1.203e-08,1.13569e-07,1.1448999999999998e-10,9.662890000000002e-11,4.5368999999999996e-10,0.007229,0.4576036,0.25,0.539,0.00077,0.00723,0.029
370,0.001282,0.0001282,7.561e-09,7.0756e-08,1.1236e-10,9.643239999999999e-11,4.3681e-10,0.006166,0.4576036,0.186,0.533,0.00076,0.00617,0.0302
380,0.001246,0.0001246,1.251e-08,3.8808999999999994e-08,1.1025e-10,9.84064e-11,4.2025e-10,0.00714,0.4576036,0.184,0.528,0.00074,0.00714,0.028
390,0.001205,0.00012049999999999999,4.447e-09,4.8841e-08,9.900249999999999e-11,9.662890000000002e-11,4.0803999999999997e-10,0.002393,0.4576036,0.572,0.523,0.00072,0.00239,0.0151
400,0.001175,0.00011750000000000001,6.229e-09,1.9043999999999998e-08,9.72196e-11,9.23521e-11,3.9600999999999996e-10,0.00247,0.4576036,0.515,0.517,0.00071,0.00247,0.0136
410,0.001123,0.0001123,2.162e-08,1.3225000000000001e-08,9.76144e-11,1.2543999999999998e-10,3.9204e-10,0.00192,0.4576036,0.51,0.512,0.00069,0.00192,0.013
420,0.001088,0.0001088,1.087e-08,6.9696e-08,8.79844e-11,9.74169e-11,3.6481e-10,0.01085,0.4576036,0.11,0.507,0.00068,0.0109,0.0373
