iter,obj_s,pde_obj_mse,feas_true,obj_for_plot,source
10,nan,0.2664,nan,0.2664,PDE_obj_MSE
20,nan,0.1912,nan,0.1912,PDE_obj_MSE
30,nan,0.1574,nan,0.1574,PDE_obj_MSE
40,nan,0.126,nan,0.126,PDE_obj_MSE
50,nan,0.09884,nan,0.09884,PDE_obj_MSE
60,nan,0.08403,nan,0.08403,PDE_obj_MSE
70,nan,0.06802,nan,0.06802,PDE_obj_MSE
80,nan,0.05227,nan,0.05227,PDE_obj_MSE
90,nan,0.04202,nan,0.04202,PDE_obj_MSE
100,nan,0.02156,nan,0.02156,PDE_obj_MSE
110,nan,0.01168,nan,0.01168,PDE_obj_MSE
120,nan,0.006124,nan,0.006124,PDE_obj_MSE
130,nan,0.005345,nan,0.005345,PDE_obj_MSE
140,nan,0.004937,nan,0.004937,PDE_obj_MSE
150,nan,0.004627,nan,0.004627,PDE_obj_MSE
160,nan,0.00437,nan,0.00437,PDE_obj_MSE
170,nan,0.004095,nan,0.004095,PDE_obj_MSE
180,nan,0.003859,nan,0.003859,PDE_obj_MSE
190,nan,0.00365,nan,0.00365,PDE_obj_MSE
200,nan,0.003409,nan,0.003409,PDE_obj_MSE
210,nan,0.003169,nan,0.003169,PDE_obj_MSE
220,nan,0.002975,nan,0.002975,PDE_obj_MSE
230,nan,0.002797,nan,0.002797,PDE_obj_MSE
240,nan,0.002631,nan,0.002631,PDE_obj_MSE
250,nan,0.002468,nan,0.002468,PDE_obj_MSE
260,nan,0.002303,nan,0.002303,PDE_obj_MSE
270,nan,0.002182,nan,0.002182,PDE_obj_MSE
280,nan,0.002044,nan,0.002044,PDE_obj_MSE
290,nan,0.00193,nan,0.00193,PDE_obj_MSE
300,nan,0.001807,nan,0.001807,PDE_obj_MSE
310,nan,0.001691,nan,0.001691,PDE_obj_MSE
320,nan,0.001595,nan,0.001595,PDE_obj_MSE
330,nan,0.00152,nan,0.00152,PDE_obj_MSE
340,nan,0.001449,nan,0.001449,PDE_obj_MSE
350,nan,0.001379,nan,0.001379,PDE_obj_MSE
360,nan,0.001326,nan,0.001326,PDE_obj_MSE
370,nan,0.001282,nan,0.001282,PDE_obj_MSE
380,nan,0.001246,nan,0.001246,PDE_obj_MSE
390,nan,0.001205,nan,0.001205,PDE_obj_MSE
400,nan,0.001175,nan,0.001175,PDE_obj_MSE
410,nan,0.001123,nan,0.001123,PDE_obj_MSE
420,nan,0.001088,nan,0.001088,PDE_obj_MSE
430,nan,0.001058,nan,0.001058,PDE_obj_MSE
440,nan,0.001039,nan,0.001039,PDE_obj_MSE
450,nan,0.001014,nan,0.001014,PDE_obj_MSE
460,nan,0.0009928,nan,0.0009928,PDE_obj_MSE
470,nan,0.0009716,nan,0.0009716,PDE_obj_MSE
480,nan,0.0009456,nan,0.0009456,PDE_obj_MSE
490,nan,0.0009244,nan,0.0009244,PDE_obj_MSE
500,nan,0.0009079,nan,0.0009079,PDE_obj_MSE
510,nan,0.0008825,nan,0.0008825,PDE_obj_MSE
520,nan,0.0008571,nan,0.0008571,PDE_obj_MSE
530,nan,0.0008219,nan,0.0008219,PDE_obj_MSE
540,nan,0.000813,nan,0.000813,PDE_obj_MSE
550,nan,0.00079,nan,0.00079,PDE_obj_MSE
560,nan,0.0007803,nan,0.0007803,PDE_obj_MSE
570,nan,0.0007586,nan,0.0007586,PDE_obj_MSE
580,nan,0.000738,nan,0.000738,PDE_obj_MSE
590,nan,0.0007232,nan,0.0007232,PDE_obj_MSE
600,nan,0.0007046,nan,0.0007046,PDE_obj_MSE
610,nan,0.0006889,nan,0.0006889,PDE_obj_MSE
620,nan,0.0006735,nan,0.0006735,PDE_obj_MSE
630,nan,0.0006606,nan,0.0006606,PDE_obj_MSE
640,nan,0.0006482,nan,0.0006482,PDE_obj_MSE
650,nan,0.0006311,nan,0.0006311,PDE_obj_MSE
660,nan,0.0006236,nan,0.0006236,PDE_obj_MSE
670,nan,0.0006082,nan,0.0006082,PDE_obj_MSE
680,nan,0.0005978,nan,0.0005978,PDE_obj_MSE
690,nan,0.0005943,nan,0.0005943,PDE_obj_MSE
700,nan,0.0005814,nan,0.0005814,PDE_obj_MSE
710,nan,0.0005724,nan,0.0005724,PDE_obj_MSE
720,nan,0.0005645,nan,0.0005645,PDE_obj_MSE
730,nan,0.0005531,nan,0.0005531,PDE_obj_MSE
740,nan,0.0005458,nan,0.0005458,PDE_obj_MSE
750,nan,0.0005379,nan,0.0005379,PDE_obj_MSE
760,nan,0.0005287,nan,0.0005287,PDE_obj_MSE
770,nan,0.0005187,nan,0.0005187,PDE_obj_MSE
780,nan,0.0005111,nan,0.0005111,PDE_obj_MSE
