iter,obj_s,pde_obj_mse,feas_true,obj_for_plot,source,alpha,tau,lam,mu,kkt_res,d_inf,d_l2
10,nan,0.2999,nan,0.2999,PDE_obj_MSE,3.14e-12,4.197956e-11,0.0,0.0,26.0,240000.0,1700000.0
20,nan,0.2999,nan,0.2999,PDE_obj_MSE,2.66e-12,1.877283e-11,0.0,0.0,9.1,256000.0,1820000.0
30,nan,0.2999,nan,0.2999,PDE_obj_MSE,2.66e-15,2.774027e-13,0.0,0.0,550.0,7350000.0,58600000.0
40,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.62e-17,1.739572e-15,0.0,0.0,11.0,292000.0,1980000.0
50,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.58e-17,1.739572e-15,0.0,0.0,82.0,2750000.0,21200000.0
60,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.55e-17,1.739572e-15,0.0,0.0,14.0,192000.0,1570000.0
70,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.51e-17,1.739572e-15,0.0,0.0,8.0,136000.0,1270000.0
80,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.48e-17,1.739572e-15,0.0,0.0,26.0,615000.0,4580000.0
90,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.45e-17,1.739572e-15,0.0,0.0,5.4,136000.0,1160000.0
100,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.42e-17,1.739572e-15,0.0,0.0,7.7,171000.0,1180000.0
110,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.39e-17,1.739572e-15,0.0,0.0,24.0,241000.0,1790000.0
120,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.37e-17,1.739572e-15,0.0,0.0,31.0,682000.0,5420000.0
130,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.34e-17,1.739572e-15,0.0,0.0,15.0,661000.0,4570000.0
140,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.32e-17,1.739572e-15,0.0,0.0,10.0,193000.0,1680000.0
150,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.3e-17,1.739572e-15,0.0,0.0,32.0,293000.0,2660000.0
160,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.27e-17,1.739572e-15,0.0,0.0,33.0,424000.0,3620000.0
170,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.25e-17,1.739572e-15,0.0,0.0,8.2,158000.0,1450000.0
180,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.23e-17,1.739572e-15,0.0,0.0,190.0,3360000.0,23200000.0
190,nan,0.2999,nan,0.2999,PDE_obj_MSE,1.21e-17,1.739572e-15,0.0,0.0,23.0,327000.0,1970000.0
