iter,pde_obj_weighted,pde_mse,constraint_mse,constraint_rms,station,tau,alpha,kkt
10,0.2693,0.02693,0.2442,0.49416596402423346,5.095,0.4538431,0.00744,0.45
20,0.1943,0.01943,0.1776,0.42142615011410955,5.924,0.4538431,0.0141,0.24
30,0.1539,0.015390000000000001,0.1404,0.3746998799039039,5.454,0.4538431,0.0103,0.22
40,0.1246,0.01246,0.1131,0.33630343441600474,4.378,0.4538431,0.0122,0.21
50,0.09943,0.009943,0.09012,0.30019993337774076,5.517,0.4538431,0.00892,0.26
60,0.08868,0.008868,0.07879,0.28069556462473716,4.097,0.4538431,0.00792,0.21
70,0.06854,0.006854000000000001,0.05387,0.23209911675833667,2.323,0.4538431,0.0356,0.074
80,0.07124,0.007124,0.03193,0.1786896751354146,1.77,0.4538431,0.0179,0.093
90,0.08272,0.008272,0.02508,0.15836666315863324,2.014,0.4538431,0.0159,0.078
100,0.1043,0.01043,0.01504,0.12263767773404713,0.733,0.4538431,0.0651,0.034
110,0.1391,0.01391,0.0003,0.017320508075688773,0.124,0.4538431,0.22,0.0061
120,0.1061,0.01061,3.299e-05,0.005743692192309751,0.1059,0.4538431,0.111,0.0051
130,0.08373,0.008373,1.406e-05,0.003749666651850535,0.1044,0.4538431,0.0744,0.0046
140,0.07004,0.007004000000000001,6.52e-06,0.002553429066960741,0.116,0.4538431,0.0499,0.0044
150,0.06103,0.006103,3.44e-06,0.0018547236990991407,0.1364,0.4538431,0.0368,0.0042
160,0.05473,0.0054730000000000004,1.709e-06,0.00130728726758888,0.1113,0.4538431,0.0299,0.004
170,0.05005,0.005005,9.007e-07,0.0009490521587352299,0.1055,0.4538431,0.0243,0.0038
180,0.0463,0.0046300000000000004,5.676e-07,0.0007533923280734945,0.113,0.4538431,0.0198,0.0038
190,0.04311,0.004311000000000001,4.007e-07,0.0006330086887239385,0.1209,0.4538431,0.0177,0.0037
200,0.04032,0.004032,3.037e-07,0.0005510898293381942,0.1267,0.4538431,0.0144,0.0037
210,0.03784,0.003784,2.426e-07,0.0004925444142409901,0.1293,0.4538431,0.0129,0.0036
220,0.03563,0.003563,2.027e-07,0.0004502221673796172,0.1285,0.4538431,0.0116,0.0036
230,0.03364,0.0033640000000000002,1.766e-07,0.0004202380277890139,0.1239,0.4538431,0.0114,0.0036
240,0.03178,0.0031780000000000003,1.601e-07,0.0004001249804748511,0.1142,0.4538431,0.0102,0.0035
250,0.03019,0.003019,1.497e-07,0.00038691084244306205,0.09979,0.4538431,0.0101,0.0034
260,0.0287,0.00287,1.43e-07,0.0003781534080237807,0.08037,0.4538431,0.011,0.0034
270,0.02739,0.002739,1.369e-07,0.00037,0.06346,0.4538431,0.0108,0.0033
280,0.02625,0.0026249999999999997,1.294e-07,0.000359722114972099,0.05343,0.4538431,0.0118,0.0032
