iter,pde_obj_weighted,pde_mse,constraint_mse,constraint_rms,station,tau,alpha,kkt
10,0.2664,0.026640000000000004,0.2429,0.4928488612140643,5.357,0.4576036,0.00748,0.46
20,0.1912,0.01912,0.176,0.41952353926806063,6.166,0.4576036,0.0129,0.25
30,0.1574,0.01574,0.1437,0.3790778284204973,5.533,0.4576036,0.00943,0.23
40,0.126,0.0126,0.1155,0.3398529093593286,3.799,0.4576036,0.0148,0.21
50,0.09884,0.009884,0.09163,0.30270447634615516,5.559,0.4576036,0.00674,0.24
60,0.08403,0.008402999999999999,0.07802,0.279320604324135,3.017,0.4576036,0.00876,0.18
70,0.06802,0.006802,0.06289,0.25077878698167433,3.267,0.4576036,0.0114,0.16
80,0.05227,0.005227,0.04584,0.21410277905716216,2.297,0.4576036,0.0289,0.068
90,0.04202,0.004202,0.03073,0.17529974329701684,2.003,0.4576036,0.0234,0.056
100,0.02156,0.002156,0.00774,0.08797726979169108,0.8183,0.4576036,0.128,0.022
110,0.01168,0.001168,7.285e-05,0.008535221145348257,0.03858,0.4576036,0.695,0.0035
120,0.006124,0.0006124,2.149e-07,0.00046357307945997034,0.01929,0.4576036,0.385,0.0019
130,0.005345,0.0005345,3.411e-08,0.00018468892765945662,0.01521,0.4576036,0.16,0.0017
140,0.004937,0.0004937,8.568e-09,9.256349172324907e-05,0.01301,0.4576036,0.13,0.0016
150,0.004627,0.0004627,1.703e-08,0.00013049904214207858,0.0115,0.4576036,0.128,0.0015
160,0.00437,0.000437,9.077e-09,9.52732911156112e-05,0.01049,0.4576036,0.152,0.0015
170,0.004095,0.0004095,1.4e-08,0.00011832159566199231,0.009834,0.4576036,0.219,0.0014
180,0.003859,0.0003859,6.206e-09,7.877816956492452e-05,0.008802,0.4576036,0.147,0.0014
190,0.00365,0.000365,5.767e-09,7.594076639065476e-05,0.007892,0.4576036,0.12,0.0013
200,0.003409,0.0003409,8.027e-09,8.959352655186646e-05,0.007145,0.4576036,0.173,0.0013
210,0.003169,0.0003169,7.535e-09,8.680437776978762e-05,0.006484,0.4576036,0.17,0.0013
220,0.002975,0.0002975,1.353e-08,0.00011631852818876277,0.005833,0.4576036,0.203,0.0012
230,0.002797,0.0002797,1.386e-08,0.0001177285012220915,0.005107,0.4576036,0.182,0.0012
240,0.002631,0.0002631,1.469e-08,0.0001212023102090055,0.005156,0.4576036,0.163,0.0011
250,0.002468,0.00024680000000000004,4.889e-09,6.992138442565336e-05,0.004954,0.4576036,0.285,0.0011
260,0.002303,0.0002303,6.833e-09,8.266196223173026e-05,0.004249,0.4576036,0.212,0.0011
270,0.002182,0.0002182,3.525e-09,5.937171043518959e-05,0.004232,0.4576036,0.23,0.001
